product_id_num,product_code,image_path
41,SH5-1,assets/images/sharara_set/SH5-1.jpeg
42,SH6,assets/images/sharara_set/SH6.jpeg
42,SH6-1,assets/images/sharara_set/SH6-1.jpeg
42,SH6-2,assets/images/sharara_set/SH6-2.jpeg
42,SH6-3,assets/images/sharara_set/SH6-3.jpeg
42,SH6-4,assets/images/sharara_set/SH6-4.jpeg
43,S1,assets/images/straight_kurti/S1.jpeg
43,S1-1,assets/images/straight_kurti/S1-1.jpeg
43,S1-2,assets/images/straight_kurti/S1-2.jpeg
44,S2,assets/images/straight_kurti/S2.jpeg
44,S2-1,assets/images/straight_kurti/S2-1.jpeg
44,S2-2,assets/images/straight_kurti/S2-2.jpeg
45,S3,assets/images/straight_kurti/S3.jpeg
45,S3-1,assets/images/straight_kurti/S3-1.jpeg
45,S3-2,assets/images/straight_kurti/S3-2.jpeg
46,S4,assets/images/straight_kurti/S4.jpeg
46,S4-1,assets/images/straight_kurti/S4-1.jpeg
46,S4-2,assets/images/straight_kurti/S4-2.jpeg
47,S5,assets/images/straight_kurti/S5.jpeg
47,S5-1,assets/images/straight_kurti/S5-1.jpeg
47,S5-2,assets/images/straight_kurti/S5-2.jpeg
48,S6,assets/images/straight_kurti/S6.jpeg
48,S6-1,assets/images/straight_kurti/S6-1.jpeg
48,S6-2,assets/images/straight_kurti/S6-2.jpeg
49,S7,assets/images/straight_kurti/S7.jpeg
49,S7-1,assets/images/straight_kurti/S7-1.jpeg
49,S7-2,assets/images/straight_kurti/S7-2.jpeg
50,S8,assets/images/straight_kurti/S8.jpeg
50,S8-1,assets/images/straight_kurti/S8-1.jpeg
50,S8-2,assets/images/straight_kurti/S8-2.jpeg
51,S9,assets/images/straight_kurti/S9.jpeg
51,S9-1,assets/images/straight_kurti/S9-1.jpeg
51,S9-2,assets/images/straight_kurti/S9-2.jpeg
52,S10,assets/images/straight_kurti/S10.jpeg
52,S10-1,assets/images/straight_kurti/S10-1.jpeg
52,S10-2,assets/images/straight_kurti/S10-2.jpeg
53,S11,assets/images/straight_kurti/S11.jpeg
53,S11-1,assets/images/straight_kurti/S11-1.jpeg
53,S11-2,assets/images/straight_kurti/S11-2.jpeg
54,S12,assets/images/straight_kurti/S12.jpeg
54,S12-1,assets/images/straight_kurti/S12-1.jpeg
54,S12-2,assets/images/straight_kurti/S12-2.jpeg
55,S13,assets/images/straight_kurti/S13.jpeg
55,S13-1,assets/images/straight_kurti/S13-1.jpeg
55,S13-2,assets/images/straight_kurti/S13-2.jpeg
56,S14,assets/images/straight_kurti/S14.jpeg
56,S14-1,assets/images/straight_kurti/S14-1.jpeg
56,S14-2,assets/images/straight_kurti/S14-2.jpeg
57,S15,assets/images/straight_kurti/S15.jpeg
57,S15-1,assets/images/straight_kurti/S15-1.jpeg
57,S15-2,assets/images/straight_kurti/S15-2.jpeg
58,S16,  assets/images/straight_kurti/S16.jpeg
58,S16-1,assets/images/straight_kurti/S16-1.jpeg
58,S16-2,assets/images/straight_kurti/S16-2.jpeg
59,S17,assets/images/straight_kurti/S17.jpeg
59,S17-1,assets/images/straight_kurti/S17-1.jpeg
59,S17-2,assets/images/straight_kurti/S17-2.jpeg
60,S18,assets/images/straight_kurti/S18.jpeg
60,S18-1,assets/images/straight_kurti/S18-1.jpeg
60,S18-2,assets/images/straight_kurti/S18-2.jpeg
61,S19,assets/images/straight_kurti/S19.jpeg
61,S19-1,assets/images/straight_kurti/S19-1.jpeg
61,S19-2,assets/images/straight_kurti/S19-1.jpeg
62,S20,assets/images/straight_kurti/S20.jpeg
62,S20-1,assets/images/straight_kurti/S20-1.jpeg
62,S20-2,assets/images/straight_kurti/S20-2.jpeg
63,S21,assets/images/straight_kurti/S21.jpeg
63,S21-1,assets/images/straight_kurti/S21-1.jpeg
63,S21-2,assets/images/straight_kurti/S21-2.jpeg
64,S22,assets/images/straight_kurti/S22.jpeg
64,S22-1,assets/images/straight_kurti/S22-1.jpeg
64,S22-2,assets/images/straight_kurti/S22-2.jpeg
65,S23,assets/images/straight_kurti/S23.jpeg
65,S23-1,assets/images/straight_kurti/S23-1.jpeg
65,S23-2,assets/images/straight_kurti/S23-2.jpeg
66,S24,assets/images/straight_kurti/S24.jpeg
